technique_id,technique_name,tactic,platforms,subtechniques,parent_technique,groups,software,campaigns,data_sources,data_components,mitigations,detection_text,system_requirements,permissions_required,effective_permissions,stealth_score,noise_score,log_surface_area,privilege_stealth_factor,detection_difficulty,lolbin_usage,edr_visibility,cloud_visibility
T1036.007,Double File Extension,stealth,Windows,,,G0094|G0129,S0534|S1015|S1111,,,,M1017|M1028,,,,,10,0,0,1,unknown,,,
T1548.002,Bypass User Account Control,privilege-escalation,Windows,,,G0016|G0027|G0040|G0060|G0067|G0069|G0080|G0082|G0120|G1006|G1051,S0074|S0089|S0116|S0129|S0132|S0134|S0140|S0141|S0148|S0154|S0182|S0192|S0230|S0250|S0254|S0260|S0262|S0275|S0332|S0356|S0363|S0378|S0444|S0447|S0458|S0501|S0527|S0531|S0570|S0584|S0606|S0612|S0633|S0640|S0660|S0662|S0666|S0669|S0670|S0692|S1018|S1039|S1068|S1081|S1111|S1130|S1149|S1199|S1202|S1242|S9007,C0006,,,M1026|M1047|M1051|M1052,,,,,10,0,0,1,unknown,,,
T1099,Timestomp,stealth,Linux|Windows|macOS,,,,,,,,,,,,,10,0,0,1,unknown,,,
T1496.003,SMS Pumping,impact,SaaS,,,,,,,,M1013,,,,,10,0,0,1,unknown,,,
T1016.001,Internet Connection Discovery,discovery,ESXi|Linux|Windows|macOS,,,G0010|G0016|G0030|G0047|G0059|G0061|G0125|G1001|G1016|G1017|G1018,S0284|S0448|S0597|S0650|S0663|S0686|S0691|S1049|S1065|S1066|S1107|S1228|S1229,C0014|C0024,,,,,,,,10,0,0,1,unknown,,,
T1548.003,Sudo and Sudo Caching,privilege-escalation,Linux|macOS,,,,S0154|S0279|S0281|S9008,,,,M1022|M1026|M1028,,,,,10,0,0,1,unknown,,,
T1685.001,Disable or Modify Windows Event Log,defense-impairment,Windows,,,G0027|G0059,S0645,C0024|C0025|C0038,,,M1018|M1022|M1024|M1047,,,,,10,0,0,1,unknown,,,
T1682,Query Public AI Services,reconnaissance,PRE,,,G0094|G1044,,,,,M1056,,,,,10,0,0,1,unknown,,,
T1560.003,Archive via Custom Method,collection,Linux|Windows|macOS,,,G0030|G0032|G0037|G0052|G0094|G0129|G1048,S0035|S0036|S0038|S0045|S0072|S0092|S0098|S0169|S0172|S0198|S0258|S0260|S0264|S0352|S0391|S0409|S0438|S0439|S0443|S0448|S0458|S0491|S0503|S0603|S0615|S0657|S0661|S1030|S1042|S1044|S1059,C0017,,,,,,,,10,0,0,1,unknown,,,
T1578,Modify Cloud Compute Infrastructure,defense-impairment,IaaS,,,,,,,,M1018|M1047,,,,,10,0,0,1,unknown,,,
